id,position_id,date,title_en,title_de,url,source_en,source_de,quote_en,quote_de
AMCEN2019,1,2019-11-15,African Ministerial Conference on the Environment (AMCEN),African Ministerial Conference on the Environment (AMCEN),https://wedocs.unep.org/bitstream/handle/20.500.11822/30786/AMCEN_17L1.pdf?sequence=1&isAllowed=y,African Ministerial Congress on the Environment (AMCEN). Durban Declaration on taking action for environmental sustainability and prosperity in Africa,,"We[, African ministers for the environment,] commit ourselves to supporting global action to address plastic pollution, which will require further work in order to engage more effectively on global governance matters relating to plastic pollution, including reinforcing existing agreements and the option of a new global agreement on plastic pollution that takes a comprehensive approach to addressing the full life cycle of plastics, from production and design to waste prevention and management, while ensuring coherence among and coordination of activities undertaken by existing regional and international instruments and taking into consideration national circumstances while highlighting the importance of technology transfer, research on alternatives to plastic and adequate financing to enable African countries to deal with plastic pollution. ",
EUCCOS2019,1,2019-11-19,EU Council Conclusions on Oceans and Seas,EU Council Conclusions on Oceans and Seas,https://www.consilium.europa.eu/media/41384/st14249-en19.pdf,EU Council Conclusions on Oceans and Seas,,"The Council of the European Union, [...] 45. STRESSES the importance of stepping up global actions for preventing the leakage of plastic litter and other harmful substances into the environment, and in particular the oceans, including through the consideration of an international agreement to address plastic pollution, in particular marine plastics pollution.",
SCE2020,1,2020-02-22,India – Norway Joint Statement on Climate and Environment,India – Norway Joint Statement on Climate and Environment,https://inbministry.blogspot.com/2020/02/india-and-norway-to-work-jointly.html?m=1&fbclid=IwAR2BbTobmt2CkT-5xncR1DBgSJciiKxM4jQmviJ0G_jcMPhcmQKflXERHDw,India – Norway Joint Statement on Climate and Environment,,The Ministers emphasized a shared understanding of the global and urgent nature of marine plastic litter and microplastics and underlined that this issue cannot be solved by any one country alone. They are committed to supporting global action to address plastic pollution and exploring the feasibility of establishing a new global agreement on plastic pollution.,
UNEA2019,2,2019-03-15,Statement by Turkey at UNEA 4,Statement by Turkey at UNEA 4,https://youtu.be/VveH4cLnh6w?list=UU9V3x9HelwEk3Z6EknB_1Cg&t=3955,"National Statement at the Fourth Session of United Nations Environment Assembly 2019, by Dr. Mehmet Emin Birpinar, Vice-Minister Of Environment And Urbanization",,"Unfortunately, existing programmes and measures are not sufficient to efficiently reduce marine litter and microplastics. Thats why we strongly urge the UN to formulate a new solution-oriented and sound international agreement on this issue. I would like to state that Turkey is ready to provide the utmost support for such an initiative.",
NORDIC2019,2,2019-04-10,Nordic Ministerial Declaration,Nordic Ministerial Declaration,https://www.norden.org/en/declaration/nordic-ministerial-declaration-call-global-agreement-combat-marine-plastic-litter-and,Nordic Ministerial Declaration,,"We, the Nordic Ministers of Environment and Climate: [...] 8. Call for the development of a global agreement to more effectively and comprehensively deal with the issue of marine plastic litter and microplastics on a global level in an integrated manner. ",
MAP2018,2,2018-10-25,Pacific Regional Action Plan on Marine Litter 2018-2025,Pacific Regional Action Plan on Marine Litter 2018-2025,https://www.sprep.org/sites/default/files/documents/publications/MAP-Digital-small.pdf,Pacific Regional Action Plan on Marine Litter endorsed by heads of state at the Pacific Islands Forum 2019,,Pacific Regional Marine Litter Action Plan – Implementation Activities: 1. Building a Policy and Regulatory Framework: 1.1 Support the development of a global legal framework to address marine litter and microplastics.,
CARICOM2019,2,2019-07-05,St. John's Declaration,St. John's Declaration,https://today.caricom.org/2019/07/06/communique-issued-at-the-conclusion-of-the-fortieth-regular-meeting-of-the-conference-of-heads-of-government-of-the-caribbean-community-gros-islet-saint-lucia-3-5-july-2019/,"St. John's declaration adopted by the The Fortieth Regular Meeting of the Conference of Heads of Government of the Caribbean Community (CARICOM), July 2019",,"Heads of Government: [...] 14. Underscore the urgent need for a global agreement to address plastics and microplastic pollution and in this regard recall resolution 3/7 of the United Nations Environment Assembly, held in Kenya in March 2019 and the long-term ambition to eliminate discharges of litter and microplastics to the oceans.",
GOF2020,1,2020-06-08,Group of Friends to Combat Marine Plastic Pollution,Group of Friends to Combat Marine Plastic Pollution,https://www.norway.no/en/missions/UN/news/news-from-norwayun/CombatMarinePlastic/#Objectives,Founding member of Group of Friends to Combat Marine Plastic Pollution,,"Some specific objectives [of the Group of Friends] include: [...] 3. To support the process to explore global response options, including a new global agreement.",
GOF2020a,2,2020-06-08,Ministerial Statement by Maldives,Ministerial Statement by Maldives,https://www.youtube.com/watch?v=EDLMvaNLkbI&feature=youtu.be,Ministerial statement at the launch of the Group of Friends to Combat Marine Plastic Pollution,,We need to set the direction for a new global framework to fight marine plastic pollution.,
GOF2020b,2,2020-06-08,Statement by Permanent Representative of Bangladesh to the UN in New York,Statement by Permanent Representative of Bangladesh to the UN in New York,https://www.youtube.com/watch?v=EDLMvaNLkbI&feature=youtu.be,Statement by Permanent Representative to the UN in New York at the launch of the Group of Friends to Combat Marine Plastic Pollution,,Binding global commitments and matching resources and actions at every level is urgently required.,
GOF2020c,2,2020-06-08,Statement by Permanent Representative of Germany to the UN in New York,Statement by Permanent Representative of Germany to the UN in New York,https://www.youtube.com/watch?v=EDLMvaNLkbI&feature=youtu.be,Statement by Permanent Representative to the UN in New York at the launch of the Group of Friends to Combat Marine Plastic Pollution,,"We need to close current gaps in our international response. A binding international agreement on plastic waste would, in Germany’s view, help in addressing this.",
GOF2020d,2,2020-06-08,Statement by Permanent Representative of the Philippines to the UN in New York,Statement by Permanent Representative of the Philippines to the UN in New York,https://www.youtube.com/watch?v=EDLMvaNLkbI&feature=youtu.be,Statement by Permanent Representative to the UN in New York at the launch of the Group of Friends to Combat Marine Plastic Pollution,,"The Philippines continues to espouse the commencement of a negotiation of a new treaty to combat marine plastic pollution, consistent with our position at UNEA4. We support the adoption of a negotiations mandate at UNEA 5 in 2021. This binding agreement must commit governments to address marine plastic pollution.",
GOF2020e,2,2020-06-08,Statement by Permanent Representative of Sri Lanka to the UN in New York,Statement by Permanent Representative of Sri Lanka to the UN in New York,https://www.youtube.com/watch?v=EDLMvaNLkbI&feature=youtu.be,Statement by Permanent Representative to the UN in New York at the launch of the Group of Friends to Combat Marine Plastic Pollution,,It is now imperative for the global body [UN] as a whole to adopt binding obligations to combat the abhorrent practice of marine plastic pollution.,
HELCOM2020,2,2020-09-28,Ministerial Declaration at 'Our Baltic' Conference,Ministerial Declaration at 'Our Baltic' Conference,https://ec.europa.eu/info/sites/info/files/ministerial_declaration_our_baltic_conference.pdf,"Ministerial Declaration, 'Our Baltic' Conference",,"We[,Ministers of Environment, Maritime Economy, Agriculture and Fisheries of Baltic Sea Member States and of the Commissioner for ‘Environment, Oceans and Fisheries’,] COMMIT to promote and actively work for a global agreement to reduce and prevent plastic marine litter and micro plastics",
CBD2020,2,2020-09-30,Statement by Environment Minister of Rwanda at UN Biodiversity Summit,Statement by Environment Minister of Rwanda at UN Biodiversity Summit,https://youtu.be/5WoQ0JjMzP8?t=38191,"Pre-recorded statement by Ms Jeanne d'Arc Mujawamariya, Environment Minister",,"Rwanda is committed to stop plastic pollution, but believes that this requires a global solution. We therefore support the establishment of a new global agreement to combat plastic pollution.",
EUCCOS2020,2,2020-10-23,EU Council Conclusions on Biodiversity,EU Council Conclusions on Biodiversity,https://www.consilium.europa.eu/en/press/press-releases/2020/10/23/council-adopts-conclusions-on-the-eu-biodiversity-strategy-for-2030/,EU Council Conclusions on Biodiversity,,"The Council of the European Union, [...] 47. COMMITS to work towards a global agreement to reduce plastic marine litter;",
PERU2020,2,2020-10-19,Statement by Environment Minister of Peru,Statement by Environment Minister of Peru,https://vimeo.com/showcase/7703517/video/472129797#t=2910s,"Statement by Environment Minister of Peru, Kirla Echegaray, at the launch of the Nordic Report on possible elements of a new treaty, 19 Oct 2020",,"As environment minister of the Republic of Peru, I want to begin this speech by confirming the commitment of my country to promote a comprehensive management of plastic waste with a circular economy approach, as well as to promote a global agreement on this issue.",
UK2020,2,2020-11-18,Statement by Environment Minister of the United Kingdom,Statement by Environment Minister of the United Kingdom,https://twitter.com/JulianWTO_UN/status/1329086584738652169,"Statement by Environment Minister of the United Kingdom, Zac Goldsmith, at a WTO event on trade and the enviroment, 18 Nov 2020",,"We believe it is time to start negotiating a new global agreement to coordinate action on marine plastic litter and microplastic litter, one that goes far beyond the existing framework.",
SEAOS2020,2,2020-11-29,Statement by Deputy Minisiter of Environment of Viet Nam,Statement by Deputy Minisiter of Environment of Viet Nam,https://youtu.be/i77jHQaaqt4?t=910,"Statement by Deputy Minisiter of Environment, Le Minh Ngan, at High-level panel session at SEA of Solutions 2020, 29 Nov 2020",,Vietnam affirms its support and willingness to participate in the formulation of a global agreement on marine plastic waste.,
WCEF2020,2,2020-11-24,Statement by Special Assistant to the Minister of Environment of Ghana,Statement by Special Assistant to the Minister of Environment of Ghana,https://www.youtube.com/watch?v=rGV3aOAXNBQ&feature=youtu.be&t=1011,"Statement by Special Assistant to the Minister of Environment, Oliver Boachie, WCEFonline Panel Discussion, GPAP Ghana circular economy event, 24 Nov 2020",,The NPAP platform has provided us a unique opportunity for Ghana to showcase what we are doing in the country to support the global effort to confront the menace of plastics in a sustainable way. We intend to use this platform to lend Ghana’s support for a Global Agreement to end plastic waste.,
UNEA5.1-RUS,2,2021-02-22,Statement by the Russion Federation at UNEA 5.1,Statement by the Russion Federation at UNEA 5.1,https://youtu.be/Mh53ESMwscM?t=7540,"Statement by H.E. Mr. Dmitry Maksimychev, Ambassador of the Russian Federation to the Republic of Kenya and Permanent Representative to International Organizations in Nairobi",,We welcome the outcome of the work of the Expert group on pollution of the marine environment by micro plastic and support its recommendation of launching an intergovermental negotiation  prosess to elaborate a new international agreement in this field.,
UNEA5.1-GER,2,2021-02-23,Statement by Germany at UNEA 5.1,Statement by Germany at UNEA 5.1,https://youtu.be/q-O6jLDaapI?t=8735,"Statement by H.E. Mrs Annett Günther, Ambassador of the Federal Republic of Germany to Kenya, Adjournment Plenary, UNEA 5.1, 23 Feb 2021",,"In this context, Ghana, Ecuador and Germany decided to join forces to keep the topic of marine litter and plastic pollution high on the political agenda towards UNEA 5.2. It is our strong belief that several countries from all regions of the world are ready to do the next decisive step towards a new global agreement. Ghana, Ecuador and Germany want to foster this process by hosting a dedicated international ministerial conference on marine litter and plastic pollution towards the end of the third quarter of this year.",
